date,경상수지,경상수지,상품수지,서비스수지,본원소득수지,이전소득수지,무역수지
200001월,227,329,647,-451,33,101,-432
200002월,2582,965,968,-114,-35,146,652
200003월,862,322,930,-181,-456,29,218
200004월,-786,-482,537,-138,"-1,007",126,178
200005월,4613,"1,630","1,878",-261,15,-2,"1,353"
200006월,5657,"1,792","2,238",-202,-238,-6,"2,073"
200007월,3029,"1,122","1,286",-191,-30,58,784
200008월,3283,969,"1,821",-627,-211,-15,"1,346"
200009월,6126,"2,142","2,373",-51,-219,39,"1,842"
200010월,3231,"1,043","1,373",5,-388,54,"1,144"
200011월,2904,"1,038","1,077",-320,234,46,829
200012월,4563,"1,381","1,824",-317,-118,-8,"1,801"
200101월,1567,677,389,3,194,90,214
200102월,1428,403,871,-567,133,-34,622
200103월,4348,"1,587","1,965",310,-710,23,"1,173"
200104월,1970,530,"1,298",-82,-696,11,909
200105월,6088,"2,168","2,124",-60,194,-90,"1,752"
200106월,3295,"1,041","1,706",-283,-348,-34,"1,213"
200107월,1251,483,802,-315,44,-48,285
200108월,-56,-242,577,-731,76,-164,428
200109월,2627,944,"1,586",-256,-243,-142,738
200110월,893,157,697,-449,-49,-42,579
200111월,1772,478,860,-519,244,-107,816
200112월,229,-192,614,-923,-36,153,613
200201월,362,154,656,-699,226,-30,55
200202월,1208,328,690,-586,279,-55,552
200203월,3099,919,"1,914",-504,-465,-26,"1,261"
200204월,230,-197,"1,200",-559,-747,-92,625
200205월,3339,932,"1,496",-553,65,-76,"1,475"
200206월,2630,835,"1,755",-531,-178,-211,960
200207월,395,16,767,-791,221,-181,363
200208월,1530,216,"1,112","-1,055",418,-259,"1,098"
200209월,1540,315,"1,133",-618,-57,-142,909
200210월,4210,"1,471","2,170",-571,-79,-49,"1,268"
200211월,3479,"1,138","1,453",-649,559,-225,"1,203"
200212월,-890,-732,432,"-1,081",189,-272,574
200301월,-1110,-468,760,"-1,185",271,-313,-175
200302월,-457,32,473,-688,448,-201,-521
200303월,-2733,"-1,121",-34,-306,-564,-217,-491
200304월,543,-209,"1,346",-269,"-1,191",-96,962
200305월,3521,"1,184","1,627",-457,219,-205,"1,153"
200306월,5425,"1,598","2,713",-760,-58,-296,"2,228"
200307월,1226,346,"1,447","-1,010",186,-277,534
200308월,4298,"1,232","2,285",-967,203,-289,"1,834"
200309월,6675,"2,092","3,061",-655,50,-363,"2,490"
200310월,7431,"2,519","2,985",-247,16,-235,"2,393"
200311월,8198,"2,858","2,846",-248,442,-181,"2,481"
200312월,5876,"1,886","2,443",-631,305,-231,"2,104"
200401월,7434,"2,328","2,915",-700,326,-213,"2,778"
200402월,7099,"2,715","2,956",-562,560,-238,"1,668"
200403월,4806,"1,375","2,715",-609,-388,-342,"2,055"
200404월,4573,959,"3,217",-497,"-1,492",-267,"2,653"
200405월,10185,"3,623","3,689",-200,276,-142,"2,939"
200406월,7662,"2,274","3,156",-660,47,-268,"3,113"
200407월,9464,"3,425","4,297",-715,6,-163,"2,614"
200408월,3959,"1,142","1,773",-911,274,6,"1,675"
200409월,8636,"2,999","3,683",-679,181,-186,"2,638"
200410월,6845,"2,295","2,747",-535,116,-33,"2,255"
200411월,8416,"2,825","3,484",-712,296,-242,"2,765"
200412월,6656,"2,213","2,939","-1,264",880,-342,"2,230"
200501월,10368,"3,682","4,357",-949,498,-224,"3,004"
200502월,3567,781,"1,489","-1,008",448,-147,"2,004"
200503월,2774,800,"2,905","-1,157",-779,-168,"1,173"
200504월,-776,"-1,202","2,234","-1,054","-2,122",-260,"1,628"
200505월,4851,"1,444","2,559","-1,182",297,-228,"1,961"
200506월,6640,"2,110","3,574","-1,133",-123,-207,"2,419"
200507월,4203,"1,238","3,053","-1,484",-92,-239,"1,727"
200508월,285,-528,"1,472","-1,697",-71,-233,"1,342"
200509월,4778,"1,489","2,710","-1,074",65,-213,"1,801"
200510월,8361,"2,830","3,477",-610,62,-98,"2,700"
200511월,6091,"2,057","3,187",-875,-80,-175,"1,977"
200512월,2007,280,"1,668","-1,435",336,-288,"1,446"
200601월,-378,-273,"1,144","-1,798",613,-233,169
200602월,-2157,"-1,218",681,"-1,849",327,-377,279
200603월,-77,-486,"2,858","-1,438","-1,460",-446,895
200604월,-2854,"-1,979","1,639","-1,538","-1,700",-380,"1,104"
200605월,3291,783,"2,241","-1,340",302,-419,"1,724"
200606월,4787,"1,431","3,230","-1,323",42,-518,"1,925"
200607월,-226,-226,"1,554","-1,716",238,-301,225
200608월,-1210,-734,"1,330","-2,141",296,-219,258
200609월,5969,"1,977","3,347","-1,482",614,-502,"2,015"
200610월,5946,"1,776","2,627","-1,139",500,-212,"2,394"
200611월,12379,"4,271","5,551","-1,457",448,-271,"3,837"
200612월,1385,64,"1,703","-1,739",314,-214,"1,257"
200701월,3504,"1,485","1,982",-775,546,-267,533
200702월,3317,"1,249","2,607","-1,965",827,-220,819
200703월,1263,87,"3,306",-799,"-2,182",-239,"1,090"
200704월,-2689,"-1,519","1,751",-789,"-2,263",-217,348
200705월,4079,"1,448","2,115",-711,435,-391,"1,183"
200706월,9941,"3,224","4,508",-791,-62,-430,"3,492"
200707월,8356,"3,686","4,623","-1,076",498,-359,984
200708월,6902,"2,773","4,127","-1,556",559,-357,"1,356"
200709월,10190,"4,030","4,898","-1,084",577,-361,"2,130"
200710월,6695,"2,501","3,407","-1,020",392,-278,"1,693"
200711월,7409,"2,764","3,148",-658,386,-113,"1,882"
200712월,-784,41,658,-742,421,-296,-866
200801월,-4004,19,589,-996,718,-291,"-4,043"
200802월,-3906,"-1,230",31,"-1,497",670,-434,"-1,446"
200803월,1478,"1,298",747,135,225,192,"-1,119"
200804월,-2820,"-1,205","1,018",138,"-2,036",-325,-410
200805월,2685,"1,003","1,235",-392,442,-282,679
200806월,1027,798,"1,842","-1,402",708,-350,-569
200807월,-2376,-193,"1,900","-1,769",228,-551,"-1,991"
200808월,-10986,"-3,588","-2,468","-1,211",305,-214,"-3,810"
200809월,-2502,-201,-641,-165,604,1,"-2,100"
200810월,10981,"4,984","1,327","1,417","1,469",772,"1,012"
200811월,2893,"1,453",-389,716,635,490,-12
200812월,661,59,-21,-706,468,319,542
200901월,-7365,"-1,800","-2,441",-99,503,237,"-3,765"
200902월,7959,"2,580","1,766",-64,366,512,"2,799"
200903월,11497,"3,764","3,494",137,-475,607,"3,970"
200904월,12476,"3,511","4,256",-16,-835,107,"5,453"
200905월,10725,"3,154","3,823",-556,205,-318,"4,417"
200906월,16305,"4,892","5,475",-720,479,-342,"6,521"
200907월,12339,"4,055","5,021","-1,241",366,-91,"4,229"
200908월,4142,"1,300","1,921",-761,368,-227,"1,541"
200909월,10681,"3,258","3,973",-661,214,-268,"4,165"
200910월,9980,"3,203","3,546",-506,336,-173,"3,574"
200911월,12787,"4,165","4,851",-644,273,-315,"4,457"
