date,price,sixty
2013.10.16,1450000,
2013.10.17,1463000,
2013.10.18,1472000,
2013.10.21,1464000,
2013.10.22,1455000,
2013.10.23,1442000,
2013.10.24,1449000,
2013.10.25,1449000,
2013.10.28,1482000,
2013.10.29,1490000,
2013.10.30,1500000,
2013.10.31,1465000,
2013.11.01,1500000,
2013.11.04,1499000,
2013.11.05,1485000,
2013.11.06,1451000,
2013.11.07,1437000,
2013.11.08,1410000,
2013.11.11,1428000,
2013.11.12,1456000,
2013.11.13,1419000,
2013.11.14,1424000,
2013.11.15,1462000,
2013.11.18,1474000,
2013.11.19,1489000,
2013.11.20,1470000,
2013.11.21,1440000,
2013.11.22,1450000,
2013.11.25,1465000,
2013.11.26,1479000,
2013.11.27,1470000,
2013.11.28,1494000,
2013.11.29,1494000,
2013.12.02,1467000,
2013.12.03,1461000,
2013.12.04,1432000,
2013.12.05,1440000,
2013.12.06,1428000,
2013.12.09,1454000,
2013.12.10,1440000,
2013.12.11,1420000,
2013.12.12,1410000,
2013.12.13,1390000,
2013.12.16,1400000,
2013.12.17,1395000,
2013.12.18,1401000,
2013.12.19,1427000,
2013.12.20,1427000,
2013.12.23,1433000,
2013.12.24,1415000,
2013.12.26,1408000,
2013.12.27,1396000,
2013.12.30,1372000,
2014.01.02,1309000,
2014.01.03,1296000,
2014.01.06,1307000,
2014.01.07,1304000,
2014.01.08,1291000,
2014.01.09,1275000,
2014.01.10,1272000,
2014.01.13,1295000,
2014.01.14,1313000,
2014.01.15,1299000,
2014.01.16,1301000,
2014.01.17,1292000,
2014.01.20,1316000,
2014.01.21,1324000,
2014.01.22,1328000,
2014.01.23,1299000,
2014.01.24,1307000,
2014.01.27,1292000,
2014.01.28,1283000,
2014.01.29,1280000,
2014.02.03,1272000,
2014.02.04,1249000,
2014.02.05,1237000,
2014.02.06,1259000,
2014.02.07,1275000,
2014.02.10,1277000,
2014.02.11,1311000,
2014.02.12,1307000,
2014.02.13,1298000,
2014.02.14,1301000,
2014.02.17,1285000,
2014.02.18,1295000,
2014.02.19,1290000,
2014.02.20,1286000,
2014.02.21,1330000,
2014.02.24,1328000,
2014.02.25,1334000,
2014.02.26,1342000,
2014.02.27,1341000,
2014.02.28,1349000,
2014.03.03,1325000,
2014.03.04,1315000,
2014.03.05,1330000,
2014.03.06,1326000,
2014.03.07,1339000,
2014.03.10,1320000,
2014.03.11,1322000,
2014.03.12,1294000,
2014.03.13,1290000,
2014.03.14,1275000,
2014.03.17,1266000,
2014.03.18,1278000,
2014.03.19,1269000,
2014.03.20,1262000,
2014.03.21,1273000,
2014.03.24,1273000,
2014.03.25,1247000,
2014.03.26,1285000,
2014.03.27,1333000,
2014.03.28,1335000,
2014.03.31,1343000,
2014.04.01,1339000,
2014.04.02,1357000,
2014.04.03,1390000,
2014.04.04,1380000,
2014.04.07,1397000,
2014.04.08,1394000,
2014.04.09,1371000,
2014.04.10,1380000,
2014.04.11,1365000,
2014.04.14,1370000,
2014.04.15,1370000,
2014.04.16,1380000,
2014.04.17,1370000,
2014.04.18,1378000,
2014.04.21,1380000,
2014.04.22,1375000,
2014.04.23,1389000,
2014.04.24,1407000,
2014.04.25,1399000,
2014.04.28,1388000,
2014.04.29,1360000,
2014.04.30,1343000,
2014.05.02,1346000,
2014.05.07,1344000,
2014.05.08,1350000,
2014.05.09,1335000,
2014.05.12,1388000,
2014.05.13,1400000,
2014.05.14,1415000,
2014.05.15,1410000,
2014.05.16,1428000,
2014.05.19,1448000,
2014.05.20,1451000,
2014.05.21,1441000,
2014.05.22,1426000,
2014.05.23,1428000,
2014.05.26,1422000,
2014.05.27,1407000,
2014.05.28,1433000,
2014.05.29,1460000,
2014.05.30,1443000,
2014.06.02,1455000,
2014.06.03,1470000,
2014.06.05,1457000,
2014.06.09,1409000,
2014.06.10,1436000,
2014.06.11,1422000,
2014.06.12,1413000,
2014.06.13,1367000,
2014.06.16,1374000,
2014.06.17,1374000,
2014.06.18,1358000,
2014.06.19,1323000,
2014.06.20,1301000,
2014.06.23,1322000,
2014.06.24,1345000,
2014.06.25,1320000,
2014.06.26,1325000,
2014.06.27,1311000,
2014.06.30,1322000,
2014.07.01,1310000,
2014.07.02,1330000,
2014.07.03,1318000,
2014.07.04,1306000,
2014.07.07,1292000,
2014.07.08,1295000,
2014.07.09,1308000,
2014.07.10,1306000,
2014.07.11,1284000,
2014.07.14,1286000,
2014.07.15,1320000,
2014.07.16,1321000,
2014.07.17,1330000,
2014.07.18,1343000,
2014.07.21,1353000,
2014.07.22,1348000,
2014.07.23,1338000,
2014.07.24,1355000,
2014.07.25,1355000,
2014.07.28,1358000,
2014.07.29,1386000,
2014.07.30,1395000,
2014.07.31,1343000,
2014.08.01,1292000,
2014.08.04,1317000,
2014.08.05,1316000,
2014.08.06,1300000,
2014.08.07,1290000,
2014.08.08,1250000,
2014.08.11,1270000,
2014.08.12,1266000,
2014.08.13,1264000,
2014.08.14,1261000,
2014.08.18,1250000,
2014.08.19,1254000,
2014.08.20,1261000,
2014.08.21,1235000,
2014.08.22,1247000,
2014.08.25,1228000,
2014.08.26,1222000,
2014.08.27,1230000,
2014.08.28,1242000,
2014.08.29,1234000,
2014.09.01,1226000,
2014.09.02,1194000,
2014.09.03,1189000,
2014.09.04,1210000,
2014.09.05,1201000,
2014.09.11,1192000,
2014.09.12,1201000,
2014.09.15,1200000,
2014.09.16,1206000,
2014.09.17,1226000,
2014.09.18,1210000,
2014.09.19,1210000,
2014.09.22,1188000,
2014.09.23,1161000,
2014.09.24,1150000,
2014.09.25,1156000,
2014.09.26,1185000,
2014.09.29,1195000,
2014.09.30,1184000,
2014.10.01,1156000,
2014.10.02,1141000,
2014.10.06,1151000,
2014.10.07,1162000,
2014.10.08,1130000,
2014.10.10,1105000,
2014.10.13,1108000,
2014.10.14,1127000,
2014.10.15,1125000,
2014.10.16,1115000,
2014.10.17,1089000,
2014.10.20,1106000,
2014.10.21,1083000,
2014.10.22,1104000,
2014.10.23,1094000,
2014.10.24,1112000,
2014.10.27,1095000,
2014.10.28,1091000,
2014.10.29,1130000,
2014.10.30,1181000,
2014.10.31,1244000,
2014.11.03,1235000,
2014.11.04,1217000,
2014.11.05,1202000,
2014.11.06,1204000,
2014.11.07,1206000,
2014.11.10,1268000,
2014.11.11,1231000,
2014.11.12,1230000,
2014.11.13,1200000,
2014.11.14,1194000,
2014.11.17,1205000,
2014.11.18,1220000,
2014.11.19,1218000,
2014.11.20,1210000,
2014.11.21,1223000,
2014.11.24,1220000,
2014.11.25,1190000,
2014.11.26,1201000,
2014.11.27,1264000,
2014.11.28,1287000,
2014.12.01,1295000,
2014.12.02,1295000,
2014.12.03,1298000,
2014.12.04,1300000,
2014.12.05,1302000,
2014.12.08,1319000,
2014.12.09,1349000,
2014.12.10,1317000,
2014.12.11,1305000,
2014.12.12,1286000,
2014.12.15,1273000,
2014.12.16,1279000,
2014.12.17,1266000,
2014.12.18,1266000,
2014.12.19,1328000,
2014.12.22,1345000,
2014.12.23,1339000,
2014.12.24,1343000,
2014.12.26,1352000,
2014.12.29,1329000,
2014.12.30,1327000,
2015.01.02,1330000,
2015.01.05,1333000,
2015.01.06,1295000,
2015.01.07,1307000,
2015.01.08,1314000,
2015.01.09,1314000,
2015.01.12,1316000,
2015.01.13,1339000,
2015.01.14,1345000,
2015.01.15,1334000,
2015.01.16,1316000,
2015.01.19,1343000,
2015.01.20,1372000,
2015.01.21,1395000,
2015.01.22,1378000,
2015.01.23,1386000,
2015.01.26,1389000,
2015.01.27,1400000,
2015.01.28,1378000,
2015.01.29,1360000,
2015.01.30,1365000,
2015.02.02,1368000,
2015.02.03,1366000,
2015.02.04,1359000,
2015.02.05,1358000,
